id,name,province,district,subdistrict,phone,lat,lng,type,typeAdd,service,capacity,evaluationResult,status,resolved_location,detail
87,โรงพยาบาลดอยสะเก็ด,เชียงใหม่,ดอยสะเก็ด,เชิงดอย,053 495 166,18.8796395,99.1345574,สถานบริการสาธารณสุข,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ",20,ยังไม่ได้ตรวจสอบ,VALID,"บ้านเชิงดอย, ดอยสะเก็ด, ลวงเหนือ, อำเภอดอยสะเก็ด, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอดอยสะเก็ด
88,โครงการศึกษาวิจัยและพัฒนาเกษตรกรรมบนพื้นที่สูงของมูลนิธิชัยพัฒนา,เชียงใหม่,ฝาง,โป่งน้ำร้อน,"053452366,0882631309",19.9656679,99.1580854,อาคารสำนักงาน,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",24,ยังไม่ได้ตรวจสอบ,VALID,"บ้านต้นผึ้ง, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
89,เทศบาลตำบลหนองตองพัฒนา,เชียงใหม่,หางดง,หนองตอง,53464041,18.61696171,98.95111466,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,ไม่มี,34,ยังไม่ได้ตรวจสอบ,VALID,"บ้านเกาะ, บ้านป่าลาน, หนองตองพัฒนา, อำเภอหางดง, จังหวัดเชียงใหม่, 50340, ประเทศไทย",district=อำเภอหางดง
90,รพ.สต.บ้านท่าโป่ง,เชียงใหม่,สันป่าตอง,บ้านแม,53835513,18.640455,98.828545,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, ห้องสุขา, ที่จอดรถ",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านน้ำบ่อหลวง, บ้านแม, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, 50120, ประเทศไทย",district=อำเภอสันป่าตอง
92,ร้านขาหมูแป๊ะเบี้ยว,เชียงใหม่,สารภี,ยางเนิ้ง,953632891,18.7113026,99.0327598,อาคารสถานที่จำหน่ายอาหารและเครื่องดื่ม,,"อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",32,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านดงสวรรค์, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
94,หอผู้ป่วยกรุณา 1,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77881987,98.9784322,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
95,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่หนองบัว,เชียงใหม่,ไชยปราการ,หนองบัว,53111966,19.71909067,99.09857869,สถานบริการสาธารณสุข,รพ.สต.,ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ,40,ยังไม่ได้ตรวจสอบ,VALID,"บ้านใหม่หนองบัว, หนองบัว, อำเภอไชยปราการ, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอไชยปราการ
97,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสันติวนา,เชียงใหม่,ไชยปราการ,หนองบัว,053-000329,19.744044,99.032825,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, WIFI",10,ผ่าน,VALID,"บ้านทำงอบ, หนองบัว, อำเภอไชยปราการ, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอไชยปราการ
98,ห้องเอกซเรย์,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,897008793,18.77345321,98.99461343,สถานบริการสาธารณสุข,อื่นๆ (กรมอนามัย),"ห้องสุขา, อื่นๆ",13,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
100,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบ่อพะแวน,เชียงใหม่,ฮอด,บ่อหลวง,821682299,18.09355839,98.36544743,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",15,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านขุน, บ่อหลวง, อำเภอฮอด, จังหวัดเชียงใหม่, ประเทศไทย",
104,หอผู้ป่วยจิระ 1,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77886558,98.97974069,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
105,ศูนย์อนามัยที่ 1 เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53272740,18.7744101,98.9949476,อาคารสำนักงาน,,ไม่มี,14,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
107,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่งูด,เชียงใหม่,ฮอด,นาคอเรือ,947603760,18.0379448,98.557413,สถานบริการสาธารณสุข,รพ.สต.,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",16,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านหลังท่อ, บ้านห้วยฝาง, อำเภอฮอด, จังหวัดเชียงใหม่, ประเทศไทย",
108,โรงพยาบาลจอมทอง,เชียงใหม่,จอมทอง,ดอยแก้ว,053341218-9,18.4054562,98.6734307,สถานบริการสาธารณสุข,รพท.,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ",56,ยังไม่ได้ตรวจสอบ,VALID,"บ้านจอมทอง, จอมทอง, ดอยแก้ว, อำเภอจอมทอง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอจอมทอง
113,สำนักงานสาธารณสุขอำเภอจอมทอง,เชียงใหม่,จอมทอง,บ้านหลวง,53341243,18.4173701,98.6767668,สถานบริการสาธารณสุข,อื่นๆ,"น้ำดื่ม, ห้องสุขา, WIFI",64,ยังไม่ได้ตรวจสอบ,VALID,"บ้านจอมทอง, จอมทอง, ดอยแก้ว, อำเภอจอมทอง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอจอมทอง
114,คลินิกทันตกรรม รพ.ส่งเสริมสุขภาพเชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,882606441,18.77371554,98.99368286,สถานบริการสาธารณสุข,รพท.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ",12,ผ่าน,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
115,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่แฮเหนือ,เชียงใหม่,แม่แจ่ม,แม่นาจร,932701187,18.79033746,98.53158995,สถานบริการสาธารณสุข,รพ.สต.,"อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ",4,ยังไม่ได้ตรวจสอบ,VALID,"บ้านจันทร์ยาใต้, อำเภอแม่แจ่ม, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่แจ่ม
118,ศูนย์พัฒนาเด็กเล็กบ้านห้วยงูกลาง,เชียงใหม่,ฝาง,สันทราย,815307397,19.8913696,99.1742857,อาคารสถานพัฒนาเด็กปฐมวัย,,อื่นๆ,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
119,ที่ว่าการอำเภออมก๋อย,เชียงใหม่,อมก๋อย,อมก๋อย,53467026,17.8010912,98.3588039,อาคารสำนักงาน,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",33,ยังไม่ได้ตรวจสอบ,VALID,"บ้านดง, อมก๋อย, อำเภออมก๋อย, จังหวัดเชียงใหม่, 50310, ประเทศไทย",district=อำเภออมก๋อย
120,รพ.ส่งเสริมสุขภาพเชียงใหม่ ศูนย์อนามัยที่ 1,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,053-272740,18.77286186,98.99480615,สถานบริการสาธารณสุข,อื่นๆ,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, ห้องสุขา, ที่จอดรถ",,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
122,รพ.สต.บ้านแคว,เชียงใหม่,สารภี,ท่ากว้าง,630293322,18.6523511,98.9973666,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, ห้องสุขา, ที่จอดรถ, WIFI",30,ผ่าน,VALID_NO_DISTRICT,"บ้านแควตุ้น, บ้านแคว, ท่ากว้าง, อำเภอสารภี, จังหวัดเชียงใหม่, 51150, ประเทศไทย",
123,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่แฮใต้,เชียงใหม่,แม่แจ่ม,ปางหินฝน,613624717,18.4301319,98.13926486,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ",76,ยังไม่ได้ตรวจสอบ,VALID,"บ้านยางรู, อำเภอแม่แจ่ม, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่แจ่ม
124,โรงพยาบาลแม่อาย,เชียงใหม่,แม่อาย,มะลิกา,53459036,20.03885107,99.30234701,สถานบริการสาธารณสุข,รพช.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ",13,ยังไม่ได้ตรวจสอบ,VALID,"บ้านห้วยปู, อำเภอแม่อาย, จังหวัดเชียงใหม่, 50280, ประเทศไทย",district=อำเภอแม่อาย
125,โรงเรียนเทศบาลตำบลแม่ริม,เชียงใหม่,แม่ริม,ริมใต้,53299523,18.9176614,98.9600366,อาคารสถานพัฒนาเด็กปฐมวัย,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",48,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสุโท, แม่ริม, ริมเหนือ, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50180, ประเทศไทย",district=อำเภอแม่ริม
126,เทศบาลตำบลสันทราย,เชียงใหม่,ฝาง,สันทราย,902573343,19.8825474,99.215177,อาคารสถานพัฒนาเด็กปฐมวัย,,,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
127,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสันพระเนตร,เชียงใหม่,สันทราย,สันพระเนตร,52000845,18.80985,99.04155,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",8,ผ่าน,VALID,"บ้านกาญจน์กนก 23, หนองจ๊อม, อำเภอสันทราย, จังหวัดเชียงใหม่, 50210, ประเทศไทย",district=อำเภอสันทราย
128,โรงเรียนอนุบาลเทศบาลสันทราย,เชียงใหม่,ฝาง,สันทราย,964198099,19.8825387,99.2151737,อาคารสถานพัฒนาเด็กปฐมวัย,,,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
129,เทศบาลตำบลเหมืองแก้ว,เชียงใหม่,แม่ริม,เหมืองแก้ว,053-379540 ต่อ11,18.89676044,98.97673662,อาคารสำนักงาน,,อื่นๆ,30,ยังไม่ได้ตรวจสอบ,VALID,"บ้านทุ่งข้าวหอม, บ้านวังป้อง, เหมืองแก้ว, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50290, ประเทศไทย",district=อำเภอแม่ริม
130,โรงพยาบาลสันป่าตอง,เชียงใหม่,สันป่าตอง,ยุหว่า,825631950,18.5854789,98.8914364,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",22,ยังไม่ได้ตรวจสอบ,VALID,"บ้านข่วงมื่น, บ้ากลางทุ่ง, ยุหว่า, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, 50120, ประเทศไทย",district=อำเภอสันป่าตอง
132,เทศบาลตำบลแม่ริม,เชียงใหม่,แม่ริม,ริมใต้,53299532,18.91596519,98.96091136,อาคารสำนักงาน,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",40,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสุโท, แม่ริม, ริมเหนือ, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50180, ประเทศไทย",district=อำเภอแม่ริม
133,รพ.สต.บ้านท่าหัด,เชียงใหม่,ฝาง,โป่งน้ำร้อน,53886302,19.936558,99.157713,สถานบริการสาธารณสุข,รพ.สต.,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",10,ยังไม่ได้ตรวจสอบ,VALID,"บ้านต้นผึ้ง, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอฝาง
134,โรงน้ำดื่ม โรงพยาบาลสวนปรุง,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.7695783,98.9797574,อาคารสำนักงาน,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
137,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ห้วยเฮ๊๊ยะ,เชียงใหม่,จอมทอง,บ้านหลวง,657273534,18.252021,98.312738,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ่อหลวง, อำเภอฮอด, จังหวัดเชียงใหม่, ประเทศไทย",
138,เทศบาลตำบลหนองแฝก,เชียงใหม่,สารภี,หนองแฝก,53968033,18.6865845,99.0295614,อาคารสำนักงาน,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",24,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านหนองแฝก หมู่ 4, บ้านป่าเก็ดถี, หนองแฝก, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
139,หอผู้ป่วยขนาน,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77973406,98.97855527,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
144,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสันทราย,เชียงใหม่,หางดง,หนองแก๋ว,53433735,18.68402642,98.93361006,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อื่นๆ",32,ยังไม่ได้ตรวจสอบ,VALID,"บ้านไชยวุฒิ, บ้านต้นไฮ, หนองแก๋ว, อำเภอหางดง, จังหวัดเชียงใหม่, 50230, ประเทศไทย",district=อำเภอหางดง
147,ศูนย์จำหน่าย,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77976962,98.979317,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
149,โรงเรียนอนุบาลเทศบาลสันทราย,เชียงใหม่,ฝาง,สันทราย,964198099,19.8825637,99.2151748,อาคารสถานพัฒนาเด็กปฐมวัย,,,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
150,โรงเรียนบ้านหนองขี้นกยาง,เชียงใหม่,แม่อาย,แม่นาวาง,931941868,20.02295927,99.375641,อาคารสถานศึกษา,,ไม่มี,26,ยังไม่ได้ตรวจสอบ,VALID,"บ้านหนองขี้นกยาง, อำเภอแม่อาย, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่อาย
152,หน่วยวิจัยเพื่อการจัดการพลังงานและเศรษฐนิเวศ,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,640691698,18.79501949,98.95326221,อาคารสำนักงาน,,,21,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
153,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลยางเนิ้ง,เชียงใหม่,สารภี,ยางเนิ้ง,53325131,18.702172,99.037409,อาคารสถานพัฒนาเด็กปฐมวัย,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านหนองแฝก หมู่ 4, บ้านป่าเก็ดถี, หนองแฝก, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
154,ศูนย์อนามัยที่ 1 เชียงใหม่ กรมอนามัย,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53272740,18.7724832,98.995444,อาคารสำนักงาน,,ไม่มี,36,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
155,โรงเรียนวัดเทพาราม,เชียงใหม่,สารภี,ป่าบง,053 423 277,18.73188466,99.05921991,อาคารสถานศึกษา,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ",66,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านต้นโชค, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
159,สำนักงานสาธารณสุขอำเภอสารภี,เชียงใหม่,สารภี,ยางเนิ้ง,812873728,18.7181,99.02699,อาคารสำนักงาน,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",25,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านดงสวรรค์, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
160,โรงเรียนอนุบาลเทศบาลตำบลป่าแดด,เชียงใหม่,เมืองเชียงใหม่,ป่าแดด,53812148,18.73897658,98.98033083,อาคารสถานศึกษา,,"น้ำดื่ม, ห้องสุขา, WIFI",66,ยังไม่ได้ตรวจสอบ,VALID,"บ้านเกาะกลาง หมู่ 8, บ้านป่าแดดใต้, ป่าแดด, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, 50100, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
161,ศูนย์อนามัยที่1เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,097-9200852,18.78994738,98.97516454,สถานบริการสาธารณสุข,อื่นๆ (ศูนย์อนามัยที่1เชียงใหม่),,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
163,หอผู้ป่วยฝ้ายคำ 2,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.7796528,98.97809432,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
164,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ห้วยเฮี๊ยะ,เชียงใหม่,จอมทอง,บ้านหลวง,657273534,18.422282,98.524306,สถานบริการสาธารณสุข,รพ.สต.,,,ยังไม่ได้ตรวจสอบ,VALID,"Ban Mai Sawan, บ้านห้วปูลิง, อำเภอจอมทอง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอจอมทอง
167,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตุงลอย,เชียงใหม่,อมก๋อย,อมก๋อย,933252142,17.95867,98.35806,สถานบริการสาธารณสุข,,น้ำดื่ม,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านตุงลอย, อำเภออมก๋อย, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภออมก๋อย
168,ห้องอาหารชั้น 1 อาคารอุบลรัตนราชกัญญา,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77988135,98.97901658,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
170,สำนักงานสาธารณสุขอำเภอดอยหล่อ,เชียงใหม่,ดอยหล่อ,ดอยหล่อ,053-369376,18.4647719,98.78322606,อาคารสำนักงาน,,ไม่มี,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านหลังม่อน, สองแคว, อำเภอดอยหล่อ, จังหวัดเชียงใหม่, 50160, ประเทศไทย",district=อำเภอดอยหล่อ
171,โรงพยาบาลเทพรัตนเวชชานุกูล เฉลิมพระเกียรติ ๖๐ พรรษา,เชียงใหม่,แม่แจ่ม,ช่างเคิ่ง,53485371,18.50686539,98.41402895,สถานบริการสาธารณสุข,รพช.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, ห้องสุขา",26,ผ่าน,VALID,"บ้านผานัง, ท่าผา, อำเภอแม่แจ่ม, จังหวัดเชียงใหม่, 50270, ประเทศไทย",district=อำเภอแม่แจ่ม
173,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ตะละ,เชียงใหม่,กัลยาณิวัฒนา,แม่แดด,916343477,18.93568,98.4594,สถานบริการสาธารณสุข,,ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านแม่ตะละ, อำเภอกัลยาณิวัฒนา, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอกัลยาณิวัฒนา
174,วัดน้ำโจ้,เชียงใหม่,สารภี,ดอนแก้ว,062 924 6939,18.687388,98.9925564,อาคารศาสนสถาน,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ",24,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านนำโจ้, บ้านดอนแก้ว, ดอนแก้ว, อำเภอสารภี, จังหวัดเชียงใหม่, ประเทศไทย",
176,โรงพยาบาลสันกำแพง,เชียงใหม่,สันกำแพง,บวกค้าง,053-446635-7,18.7159207,99.1228032,สถานบริการสาธารณสุข,,ไม่มี,30,ยังไม่ได้ตรวจสอบ,VALID,"บ้านแม่แต, บ้านต้นดู่, บวกค้าง, อำเภอสันกำแพง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอสันกำแพง
177,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองห้า,เชียงใหม่,สันป่าตอง,น้ำบ่อหลวง,840453130,18.671428,98.832884,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI, อื่นๆ",16,ผ่าน,VALID,"บ้านทัวฝาย, บ้านแม, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอสันป่าตอง
179,โรงเรียนอนุบาลเทศบาลสันทราย,เชียงใหม่,ฝาง,สันทราย,961478379,19.8788814,99.1893264,อาคารสถานศึกษา,,ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
181,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปง,เชียงใหม่,ไชยปราการ,หนองบัว,806232487,19.73337525,99.1107526,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านใหม่หนองบัว, หนองบัว, อำเภอไชยปราการ, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอไชยปราการ
183,โรงพยาบาลส่งเสริมสุขภาพตำบลดอยอินทนนท์,เชียงใหม่,จอมทอง,บ้านหลวง,931970555,18.5408422,98.5238716,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านขุนกลาง, อำเภอจอมทอง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอจอมทอง
184,ศูนย์รักษาด้วยไฟฟ้า,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77844911,98.97824406,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
